AuthorID,Author,Date,Content,Attachments,Reactions
"1278564815102808175","Alura","2024-09-05T18:26:53.0130000-03:00","Novo projeto recebido!","","⭐ (12)"
"1278564815102808175","Alura","2024-09-05T18:30:02.6350000-03:00","Novo projeto recebido!","","⭐ (13)"
"1278564815102808175","Alura","2024-09-05T18:35:51.2760000-03:00","Novo projeto recebido!","","⭐ (76)"
"1278564815102808175","Alura","2024-09-05T18:38:51.2990000-03:00","Novo projeto recebido!","","⭐ (138)"
"1278564815102808175","Alura","2024-09-05T18:51:43.8450000-03:00","Novo projeto recebido!","","⭐ (11)"
"1278564815102808175","Alura","2024-09-05T18:53:44.7760000-03:00","Novo projeto recebido!","","⭐ (10)"
"1278564815102808175","Alura","2024-09-05T18:55:30.1160000-03:00","Novo projeto recebido!","","⭐ (27)"
"1278564815102808175","Alura","2024-09-05T18:56:34.7000000-03:00","Novo projeto recebido!","","⭐ (11)"
"1278564815102808175","Alura","2024-09-05T18:58:09.0370000-03:00","Novo projeto recebido!","","⭐ (12)"
"1278564815102808175","Alura","2024-09-05T19:00:09.0610000-03:00","Novo projeto recebido!","","⭐ (51)"
"1278564815102808175","Alura","2024-09-05T19:02:20.2350000-03:00","Novo projeto recebido!","","⭐ (10)"
"1278564815102808175","Alura","2024-09-05T19:02:24.0770000-03:00","Novo projeto recebido!","","⭐ (112)"
"1278564815102808175","Alura","2024-09-05T19:13:05.3270000-03:00","Novo projeto recebido!","","⭐ (30)"
"1278564815102808175","Alura","2024-09-05T19:23:35.6910000-03:00","Novo projeto recebido!","","⭐ (51)"
"1278564815102808175","Alura","2024-09-05T19:23:54.8570000-03:00","Novo projeto recebido!","","⭐ (9)"
"1278564815102808175","Alura","2024-09-05T19:24:19.4610000-03:00","Novo projeto recebido!","","⭐ (9)"
"1278564815102808175","Alura","2024-09-05T19:42:32.2500000-03:00","Novo projeto recebido!","","⭐ (9)"
"1278564815102808175","Alura","2024-09-05T19:47:23.4790000-03:00","Novo projeto recebido!","","⭐ (26)"
"1278564815102808175","Alura","2024-09-05T19:48:29.9420000-03:00","Novo projeto recebido!","","⭐ (82)"
"1278564815102808175","Alura","2024-09-05T19:49:05.4070000-03:00","Novo projeto recebido!","","⭐ (10)"
"1278564815102808175","Alura","2024-09-05T19:59:10.5310000-03:00","Novo projeto recebido!","","⭐ (11)"
"1278564815102808175","Alura","2024-09-05T20:01:28.1140000-03:00","Novo projeto recebido!","","⭐ (9)"
"1278564815102808175","Alura","2024-09-05T20:02:02.5080000-03:00","Novo projeto recebido!","","⭐ (21)"
"1278564815102808175","Alura","2024-09-05T20:06:05.7770000-03:00","Novo projeto recebido!","","⭐ (12)"
"1278564815102808175","Alura","2024-09-05T20:12:15.2880000-03:00","Novo projeto recebido!","","⭐ (16)"
"1278564815102808175","Alura","2024-09-05T20:21:32.9520000-03:00","Novo projeto recebido!","","⭐ (10)"
"1278564815102808175","Alura","2024-09-05T20:27:13.6820000-03:00","Novo projeto recebido!","","⭐ (18)"
"1278564815102808175","Alura","2024-09-05T20:29:38.1260000-03:00","Novo projeto recebido!","","⭐ (17)"
"1278564815102808175","Alura","2024-09-05T20:32:08.0460000-03:00","Novo projeto recebido!","","⭐ (11)"
"1278564815102808175","Alura","2024-09-05T20:33:14.1440000-03:00","Novo projeto recebido!","","⭐ (14)"
"1278564815102808175","Alura","2024-09-05T20:33:52.2640000-03:00","Novo projeto recebido!","","⭐ (10)"
"1278564815102808175","Alura","2024-09-05T20:34:42.6680000-03:00","Novo projeto recebido!","","⭐ (10)"
"1278564815102808175","Alura","2024-09-05T20:43:17.0270000-03:00","Novo projeto recebido!","","⭐ (10)"
